Activity,Cluster_Region,Source_Year,n,estimate,cv_approx,annual_pass
Other sport/recreation,Trunk/spine,2020,126,4200.0,0.19882393281558605,True
Other sport/recreation,Lower limb,2020,386,11300.0,0.19713893947779196,True
Other sport/recreation,Other/systemic,2020,30,,0.24080720381633453,False
Combat sports,Head/neck,2020,343,11100.0,0.1367955700091446,True
Combat sports,Upper limb,2020,554,19300.0,0.11793515724163371,True
Combat sports,Trunk/spine,2020,174,6500.0,0.15084252611231821,True
Combat sports,Lower limb,2020,307,10600.0,0.1473241582868716,True
Combat sports,Other/systemic,2020,21,,0.37517570532673483,False
Other ball sports,Head/neck,2020,383,10400.0,0.1664522218723598,True
Other ball sports,Upper limb,2020,344,10700.0,0.1789416350546867,True
Other ball sports,Trunk/spine,2020,100,,0.3667046583415882,False
Other ball sports,Lower limb,2020,302,10100.0,0.21250145337681484,True
Other ball sports,Other/systemic,2020,46,,0.3408978678330851,False
Gymnastics/cheerleading,Head/neck,2020,258,6900.0,0.17467338257795062,True
Gymnastics/cheerleading,Upper limb,2020,452,11100.0,0.15631965776813972,True
Gymnastics/cheerleading,Trunk/spine,2020,113,2500.0,0.15564319520559225,True
Gymnastics/cheerleading,Lower limb,2020,310,7200.0,0.16585782161161858,True
Gymnastics/cheerleading,Other/systemic,2020,11,,0.4529443035020848,False
Volleyball,Head/neck,2020,124,3600.0,0.17341938424977596,True
Volleyball,Upper limb,2020,217,7900.0,0.13485409165962994,True
Volleyball,Trunk/spine,2020,52,1800.0,0.2009930924307558,True
Volleyball,Lower limb,2020,300,9800.0,0.13941399164646628,True
Volleyball,Other/systemic,2020,15,,0.43219686235177984,False
Snow sports,Head/neck,2020,247,10900.0,0.2556512917260925,True
Snow sports,Upper limb,2020,379,17600.0,0.31796353153964013,True
Snow sports,Trunk/spine,2020,128,5800.0,0.25370665633216294,True
Snow sports,Lower limb,2020,266,11700.0,0.31811167682048935,True
Snow sports,Other/systemic,2020,8,,0.5357607146669278,False
Hockey,Head/neck,2020,256,7300.0,0.1931580269892845,True
Hockey,Upper limb,2020,229,6400.0,0.2819768243750301,True
Hockey,Trunk/spine,2020,60,,0.3662891409714106,False
Hockey,Lower limb,2020,120,3400.0,0.220767370290378,True
Hockey,Other/systemic,2020,6,,0.5719858240006864,False
Fishing,Head/neck,2020,177,8300.0,0.14318209163432333,True
Fishing,Upper limb,2020,697,38000.0,0.18563619786173538,True
Fishing,Trunk/spine,2020,76,3700.0,0.188637754399668,True
Fishing,Lower limb,2020,266,13700.0,0.2321427681925541,True
Fishing,Other/systemic,2020,30,,0.254699892302491,False
Basketball,Head/neck,2021,1568,45600.0,0.10207475930443236,True
Basketball,Upper limb,2021,2544,72300.0,0.11212708420729374,True
Basketball,Trunk/spine,2021,576,16900.0,0.12173204154497004,True
Basketball,Lower limb,2021,3939,120000.0,0.09894302782235935,True
Basketball,Other/systemic,2021,98,3100.0,0.15898093082692355,True
Exercise/fitness,Head/neck,2021,1227,43900.0,0.12053596006996235,True
Exercise/fitness,Upper limb,2021,1302,47500.0,0.1111753785147022,True
Exercise/fitness,Trunk/spine,2021,2369,94100.0,0.13862457322380903,True
Exercise/fitness,Lower limb,2021,2840,108600.0,0.10325033127995602,True
Exercise/fitness,Other/systemic,2021,610,24800.0,0.1945276519867062,True
Football,Head/neck,2021,1568,44700.0,0.11734195053365601,True
Football,Upper limb,2021,3338,91500.0,0.123525666801204,True
Football,Trunk/spine,2021,636,18100.0,0.12854966451767613,True
Football,Lower limb,2021,2298,63300.0,0.12763136746721715,True
Football,Other/systemic,2021,86,3200.0,0.20688696321323444,True
Soccer,Head/neck,2021,1130,28900.0,0.13136521088307107,True
Soccer,Upper limb,2021,1627,40400.0,0.16540490920782552,True
Soccer,Trunk/spine,2021,425,10500.0,0.14129471619620787,True
Soccer,Lower limb,2021,2345,63000.0,0.1342136734006386,True
Soccer,Other/systemic,2021,57,1500.0,0.24173445362267884,True
Swimming/diving,Head/neck,2021,2452,84200.0,0.3126243391972385,True
Swimming/diving,Upper limb,2021,330,12200.0,0.17034348803732632,True
Swimming/diving,Trunk/spine,2021,345,13600.0,0.17365387305259294,True
Swimming/diving,Lower limb,2021,745,27000.0,0.18306253633623246,True
Swimming/diving,Other/systemic,2021,518,16400.0,0.2793123517297905,True
Baseball/softball,Head/neck,2021,1511,43700.0,0.12591316288218835,True
Baseball/softball,Upper limb,2021,1036,33800.0,0.1329586587191073,True
